problem,instance_id,population_size,generations,operator_id,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
knapsack,n20_strongly,20,30,swapbit,30,5366.0,5391.166666666667,101.40362617923901,5257.0,5664.0
knapsack,n20_strongly,20,50,singlepoint,30,5344.0,5351.0,178.09993320295365,4815.0,5658.0
knapsack,n20_strongly,20,50,uniform,30,5492.0,5472.366666666667,125.0923750627934,5225.0,5660.0
knapsack,n20_strongly,20,50,bitflip,30,5616.5,5585.9,90.46559643273808,5354.0,5732.0
knapsack,n20_strongly,20,50,swapbit,30,5366.0,5391.866666666667,101.40350716009686,5261.0,5664.0
knapsack,n20_strongly,50,20,singlepoint,30,5538.0,5513.1,108.4092978580203,5293.0,5662.0
knapsack,n20_strongly,50,20,uniform,30,5628.5,5587.5,96.43784848641977,5355.0,5766.0
knapsack,n20_strongly,50,20,bitflip,30,5649.0,5621.233333333334,65.66827992650444,5432.0,5755.0
knapsack,n20_strongly,50,20,swapbit,30,5461.5,5443.9,99.35632496396407,5265.0,5666.0
knapsack,n20_strongly,50,30,singlepoint,30,5538.0,5513.1,108.4092978580203,5293.0,5662.0
knapsack,n20_strongly,50,30,uniform,30,5628.5,5587.6,96.51821339644336,5355.0,5766.0
knapsack,n20_strongly,50,30,bitflip,30,5655.5,5631.733333333334,64.06081880328354,5432.0,5755.0
knapsack,n20_strongly,50,30,swapbit,30,5464.0,5445.1,99.78817219663274,5265.0,5666.0
knapsack,n20_strongly,50,50,singlepoint,30,5538.0,5513.1,108.4092978580203,5293.0,5662.0
knapsack,n20_strongly,50,50,uniform,30,5628.5,5587.6,96.51821339644336,5355.0,5766.0
knapsack,n20_strongly,50,50,bitflip,30,5661.0,5647.1,48.839180145057504,5459.0,5755.0
knapsack,n20_strongly,50,50,swapbit,30,5466.0,5445.8,99.71767041554595,5265.0,5666.0
knapsack,n30_uncorrelated,20,20,singlepoint,30,10237.0,10202.8,588.0591924229257,8692.0,11161.0
knapsack,n30_uncorrelated,20,20,uniform,30,11706.0,11582.166666666666,780.7056968265771,9708.0,12903.0
knapsack,n30_uncorrelated,20,20,bitflip,30,12079.0,11983.433333333332,495.9319115761156,11105.0,12775.0
knapsack,n30_uncorrelated,20,20,swapbit,30,11605.0,11610.366666666667,576.572959963368,10005.0,12532.0
knapsack,n30_uncorrelated,20,30,singlepoint,30,10237.0,10202.8,588.0591924229257,8692.0,11161.0
knapsack,n30_uncorrelated,20,30,uniform,30,11706.0,11582.166666666666,780.7056968265771,9708.0,12903.0
knapsack,n30_uncorrelated,20,30,bitflip,30,12419.0,12327.9,364.62189674539144,11390.0,12861.0
knapsack,n30_uncorrelated,20,30,swapbit,30,11742.5,11764.3,563.8728243752889,10005.0,12924.0
knapsack,n30_uncorrelated,20,50,singlepoint,30,10237.0,10202.8,588.0591924229257,8692.0,11161.0
knapsack,n30_uncorrelated,20,50,uniform,30,11706.0,11582.166666666666,780.7056968265771,9708.0,12903.0
knapsack,n30_uncorrelated,20,50,bitflip,30,12742.0,12688.0,209.01278627774477,12148.0,12924.0
knapsack,n30_uncorrelated,20,50,swapbit,30,11853.5,11864.2,592.3594784623083,10005.0,12924.0
knapsack,n30_uncorrelated,50,20,singlepoint,30,11794.0,11762.833333333334,565.1479564182092,10454.0,12859.0
knapsack,n30_uncorrelated,50,20,uniform,30,12829.5,12787.666666666666,267.88357395593016,12225.0,13103.0
knapsack,n30_uncorrelated,50,20,bitflip,30,12390.0,12435.666666666666,387.95799037892044,11360.0,13103.0
knapsack,n30_uncorrelated,50,20,swapbit,30,11917.5,11915.0,357.1101443146271,10923.0,12479.0
knapsack,n30_uncorrelated,50,30,singlepoint,30,11794.0,11762.833333333334,565.1479564182092,10454.0,12859.0
knapsack,n30_uncorrelated,50,30,uniform,30,12829.5,12787.666666666666,267.88357395593016,12225.0,13103.0
knapsack,n30_uncorrelated,50,30,bitflip,30,12759.5,12725.6,229.00618874335825,12208.0,13103.0
knapsack,n30_uncorrelated,50,30,swapbit,30,12181.0,12109.733333333334,349.91210062088385,10972.0,12674.0
knapsack,n30_uncorrelated,50,50,singlepoint,30,11794.0,11762.833333333334,565.1479564182092,10454.0,12859.0
knapsack,n30_uncorrelated,50,50,uniform,30,12829.5,12787.666666666666,267.88357395593016,12225.0,13103.0
knapsack,n30_uncorrelated,50,50,bitflip,30,12912.5,12921.533333333333,180.47346415572517,12457.0,13103.0
knapsack,n30_uncorrelated,50,50,swapbit,30,12209.5,12201.6,344.16651944000637,11164.0,12680.0
knapsack,n30_weakly,20,20,singlepoint,30,7582.5,7570.2,138.33377925423213,7327.0,7831.0
knapsack,n30_weakly,20,20,uniform,30,7719.5,7718.366666666667,136.02724963652747,7441.0,7947.0
knapsack,n30_weakly,20,20,bitflip,30,7735.0,7752.766666666666,110.76308464258402,7586.0,8095.0
knapsack,n30_weakly,20,20,swapbit,30,7941.5,7936.966666666666,105.091252082977,7725.0,8146.0
knapsack,n30_weakly,20,30,singlepoint,30,7582.5,7570.2,138.33377925423213,7327.0,7831.0
knapsack,n30_weakly,20,30,uniform,30,7719.5,7718.366666666667,136.02724963652747,7441.0,7947.0
knapsack,n30_weakly,20,30,bitflip,30,7781.5,7798.133333333333,97.78750125807925,7649.0,8095.0
knapsack,n30_weakly,20,30,swapbit,30,7964.5,7975.4,87.8837790533023,7814.0,8146.0
knapsack,n30_weakly,20,50,singlepoint,30,7582.5,7570.2,138.33377925423213,7327.0,7831.0
knapsack,n30_weakly,20,50,uniform,30,7719.5,7718.366666666667,136.02724963652747,7441.0,7947.0
knapsack,n30_weakly,20,50,bitflip,30,7873.5,7868.066666666667,90.38268575926183,7716.0,8095.0
knapsack,n30_weakly,20,50,swapbit,30,8052.0,8034.133333333333,73.08603023897216,7861.0,8146.0
knapsack,n30_weakly,50,20,singlepoint,30,7797.0,7791.2,76.54766376308429,7604.0,7940.0
knapsack,n30_weakly,50,20,uniform,30,7932.5,7934.8,91.72763280871067,7728.0,8133.0
knapsack,n30_weakly,50,20,bitflip,30,7887.0,7884.2,63.41510752233229,7745.0,7995.0
knapsack,n30_weakly,50,20,swapbit,30,7982.5,7982.166666666667,67.26483086475702,7813.0,8132.0
knapsack,n30_weakly,50,30,singlepoint,30,7797.0,7791.2,76.54766376308429,7604.0,7940.0
knapsack,n30_weakly,50,30,uniform,30,7937.5,7946.633333333333,85.87821502623325,7750.0,8133.0
knapsack,n30_weakly,50,30,bitflip,30,7952.0,7954.4,74.89744712743483,7834.0,8111.0
knapsack,n30_weakly,50,30,swapbit,30,8029.0,8026.266666666666,55.9537575905832,7917.0,8132.0
knapsack,n30_weakly,50,50,singlepoint,30,7797.0,7791.2,76.54766376308429,7604.0,7940.0
knapsack,n30_weakly,50,50,uniform,30,7937.5,7946.666666666667,85.91468636579741,7750.0,8133.0
